cancel	dept_code	dept_group	week_section1	week_section2	week_section3	week_section4	authorize_p	authorize_r	brief_eng	dept_chiabbr	not_choose	course_code	percentage	full_flag	limit	selfTeach	credit	intensive	fillcounter	for_query	acadm_year	course_kind	selfTeachName	send_time	eng_name	course_group	exp_hours	serial_no	status	emi	counter_exceptAuth	rt	gender_restrict	eng_teach	classes	dept_engfull	restrict	school_avg	umd	authorize_using	dept_group_name	course_avg	teacher	class_name	time_inf	chn_name	form_s_name	moocs_teach	hours	form_s	tname	counter	deleteQ	option_code	tcode	scoreEnt	iCounter	limit_count_h	comment	acadm_term	generalCore
	A						5	0.10		運休學院		A0U0004			5		2.0				112	半			Career Planning and Vocational Counseling </br>[ Program: The Program of Elite Athletes College ]			0001			16	N								0			洪聰敏		四 3-4 本部 正105	生涯規劃與就業輔導 </br>[ 學分學程：金牌書院 ]						16		選				50		1	
	A						5	0.12		運休學院		A0U0005			5		2.0				112	半			International Trends of Physical Education and Sports </br>[ Program: The Program of Elite Athletes College ]			0002			19	N								0			陳美燕		三 8-9 本部 體003	國際體育與運動現勢 </br>[ 學分學程：金牌書院 ]						19		選				43		1	
	AD30						10	0.20		體育系（博）		PED0012			0		3.0				112	半			Topics in Sport Science			0003			18	N					◎課程開放上修			0			林靜萍		五 2-4 本部 體001	運動科學特論						18		必				50		1	
	AD30						10	0.20		體育系（博）		PED0065			0		3.0				112	半			Special Topics in Sport Management			0004			1	N					◎課程開放上修			0			程紹同		四 2-4 本部 體002	運動管理學專題研究						1		選				50		1	
	AD30						10	0.20		體育系（博）		PED0066			0		3.0				112	半			Special Topics in Physical Education Teaching			0005			7	N					◎課程開放上修			0			闕月清		三 A-C 本部 體003	體育教學專題研究						7		選				50		1	
	AD30						10	0.20		體育系（博）		PED0072			0		3.0				112	半			Paradigms and Critiques of Physical Activity Psychology Research			0006			9	N					◎課程開放上修			0			季力康		四 2-4 本部 體育館一2樓會議室	身體活動心理學之研究典範與批判						9		選				50		1	
	AD31						1	0.03		休旅所（博）		SRD0001			2		3.0				112	半			Qualitative Methodology			0007			5	N		是			◎課程不開放上修			0			麥康妮		四 7-9 本部 綜602	質性研究法						5		必				30		1	
	AD31						2	0.07		休旅所（博）		SRD0009			2		3.0				112	半			Studies in Organizational Behavior for Leisure Industry </br>[ Program: The program of Cultivating Seniors Service Talent in Community ]			0008			8	N					◎課程不開放上修			0			陳美燕		四 3-5 本部 綜602	休閒產業組織行為研究 </br>[ 學分學程：高齡學程 ]						8		選				30		1	
	AD31						0	0.00		休旅所（博）		SRD0024			0		1.0				112	半			Seminar on Sport, Leisure, and Hospitality Management			0009			4	N					允許重複修 ◎必須先修過【SRD0001  質性研究法】、【SRD0002  量化研究法】其中一門 ◎課程不開放上修			0			林伯修		四 C 本部 綜508會議室	運動休閒與餐旅管理專題討論						4		必				30		1	
	AD31						3	0.10		休旅所（博）		SRD0025			0		3.0				112	半			Academic Writing and Oral Presentation for Sport and Leisure			0010			4	N		是			◎課程不開放上修			1			廖邕		五 3-5 本部 綜603	運動休閒專業英文寫作與口語表達						5		選				30		1	
	AM30						10	0.20		體育系（碩）		PEM0004			0		3.0				112	半			Studies in Physical Education Curriculum			0011			15	N					◎課程開放上修			0			掌慶維		二 7-9 本部 體001	體育課程研究						15		選				50		1	
	AM30						10	0.20		體育系（碩）		PEM0005			0		3.0				112	半			Research on Teaching Physical Education			0012			8	N					◎課程開放上修			0			施登堯		四 7-9 本部 體003	體育教學研究						8		選				50		1	
	AM30						10	0.20		體育系（碩）		PEM0023			0		3.0				112	半			Studies in Sport Marketing			0013			3	N					◎課程開放上修			0			程紹同		五 6-8 本部 體002	運動行銷學研究						3		選				50		1	
	AM30						10	0.20		體育系（碩）		PEM0024			0		3.0				112	半			Statistics and Experimental Design(I)			0014			40	N					◎課程開放上修			0			張育愷		一 7-9 本部 教402	統計與實驗設計（一）						40		必				50		1	
	AM30						10	0.20		體育系（碩）		PEM0027			0		3.0				112	半			Research Methodology	A		0015			21	N					◎課程開放上修			0			程瑞福		二 2-4 本部 體002	研究法						21		必				50		1	
	AM30						10	0.20		體育系（碩）		PEM0027			0		3.0				112	半			Research Methodology	B		0016			29	N					◎課程開放上修			0			洪聰敏		二 2-4 本部 體003	研究法						29		必				50		1	
	AM30						10	0.20		體育系（碩）		PEM0033			0		3.0				112	半			Seminar in Sport  Management			0017			19	N					◎課程開放上修			0			鄭志富		四 7-9 本部 體001	運動管理學研究						19		選				50		1	
	AM30						10	0.20		體育系（碩）		PEM0074			0		3.0				112	半			Studies in Sprot Sociology			0018			15	N					◎課程開放上修			0			湯添進		四 2-4 本部 體003	運動社會學研究						15		選				50		1	
	AM30						10	0.20		體育系（碩）		PEC0013			0		3.0				112	半			Research Methods in Sport Biomechanics			0019			10	N			8		◎課程開放上修			0			蔡虔祿	碩博	三 2-4 公館 研001	運動生物力學研究法						10		選				50		1	
	AM30						10	0.20		體育系（碩）		PEC0030			0		3.0				112	半			Studies in Sport Nutrition			0020			8	N		是	8		◎課程開放上修			0			劉宏文	碩博	四 6-8 公館 研002	運動營養學研究						8		選				50		1	
	AM30						10	0.20		體育系（碩）		PEC0039			0		3.0				112	半			Special Topics in Exercise Energy Metabolism			0021			7	N		是	8		◎課程開放上修			0			陳勇志	碩博	五 2-4 公館 研001	運動能量代謝專題研究						7		選				50		1	
