acadm_term	acadm_year	authorize_p	authorize_r	authorize_using	brief_eng	cancel	chn_name	class_name	classes	comment	counter	counter_exceptAuth	course_avg	course_code	course_group	course_kind	credit	deleteQ	dept_chiabbr	dept_code	dept_engfull	dept_group	dept_group_name	emi	eng_name	eng_teach	exp_hours	fillcounter	for_query	form_s	form_s_name	full_flag	gender_restrict	hours	iCounter	intensive	limit	limit_count_h	moocs_teach	not_choose	option_code	percentage	restrict	rt	school_avg	scoreEnt	selfTeach	selfTeachName	send_time	serial_no	status	tcode	teacher	time_inf	tname	umd	week_section1	week_section2	week_section3	week_section4	generalCore
3	113	5	0.17				教育心理學研究	碩博	8	◎第2期  ◎第二類課程 【第二期】				EDC0077		半	3.0		教育系（碩）	EM00					Studies in Educational Psychology											Y	0	30			選		◎課程不開放上修	N						0003			唐淑華	◎密集課程							
3	113	3	0.06				班級經營（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 國際教師學程-國際 ]			◎第1期  ◎第二類課程  【第一期】				00UE006		半	2.0		師培學院	EU					Classroom Management </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of International Baccalaureate Educator Certificate-International Education ]											Y	0	50			選		◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 可修	N						0005			楊傳蓮	◎密集課程							
3	113	0	0.00				輔導原理與實務（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 國際教師學程-國際 ]			◎第2期  ◎第二類課程  【第二期】				00UE008	A	半	2.0		師培學院	EU					Principle and Practice of Guidance </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of International Baccalaureate Educator Certificate-International Education ]											Y	0	50			選		◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 可修	N						0006			陳淑琦	◎密集課程							
3	113	0	0.00				輔導原理與實務（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 國際教師學程-國際 ]			◎第2期  ◎第二類課程  【第二期】				00UE008	B	半	2.0		師培學院	EU					Principle and Practice of Guidance </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of International Baccalaureate Educator Certificate-International Education ]											Y	0	50			選		◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 可修	N						0007			陳淑琦	◎密集課程							
3	113	0	0.00				特殊教育導論（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 國際教師學程-國際 ]			◎全期  ◎第二類課程  【全期】				00UE059		半	3.0		師培學院	EU					Introduction to Special Education </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of International Baccalaureate Educator Certificate-International Education ]											Y	0	50			選		◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 國小教育學程生 國小不佔名額生 可修	N						0008			楊秀文 朱怡珊	◎密集課程							
3	113	10	0.20				教學媒體與運用（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 國際教師學程-國際 ]			◎第2期  ◎第二類課程  【第二期】				00UE076		半	2.0		師培學院	EU					Instructional Medium </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of International Baccalaureate Educator Certificate-International Education ]											Y	0	50			選		◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 國小教育學程生 國小不佔名額生 可修	N						0009			林育沖	◎密集課程							
3	113	0	0.00				教師專業發展（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 PASSION偏鄉教育學程 國際教師學程-國際 ]			◎第1期  ◎第二類課程  【第一期】				00UE080	A	半	2.0		師培學院	EU					Teacher Professional Development </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of PASSION Quality Education in Rural Schools The Program of International Baccalaureate Educator Certificate-International Education ]											Y	0	50			選		◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 國小教育學程生 國小不佔名額生 可修	N						0010			張民杰	◎密集課程							
3	113	0	0.00				教師專業發展（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 PASSION偏鄉教育學程 國際教師學程-國際 ]			◎第1期  ◎第二類課程  【第一期】				00UE080	B	半	2.0		師培學院	EU					Teacher Professional Development </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of PASSION Quality Education in Rural Schools The Program of International Baccalaureate Educator Certificate-International Education ]											Y	0	50			選		◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 國小教育學程生 國小不佔名額生 可修	N						0011			桑慧芬	◎密集課程							
3	113	0	0.00				教育政策與法令（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 國際教師學程-國際 ]			◎第1期  ◎第二類課程  【第一期】				00UE099		半	2.0		師培學院	EU					Education Policy and Law </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of International Baccalaureate Educator Certificate-International Education ]											Y	0	50			選		◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 國小教育學程生 國小不佔名額生 可修	N						0012			桑慧芬	◎密集課程							
3	113	3	0.06				實驗教育（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 國際教師學程-國際 ]			◎第1期  ◎第二類課程  【第一期】				00UE100		半	2.0		師培學院	EU					Experiment Education </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of International Baccalaureate Educator Certificate-International Education ]											Y	0	50			選		◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 國小教育學程生 國小不佔名額生 可修	N						0013			楊傳蓮	◎密集課程							
