cancel	dept_code	dept_group	week_section1	week_section2	week_section3	week_section4	authorize_p	authorize_r	brief_eng	dept_chiabbr	not_choose	course_code	percentage	full_flag	limit	selfTeach	credit	intensive	fillcounter	for_query	acadm_year	course_kind	selfTeachName	send_time	eng_name	course_group	exp_hours	serial_no	status	emi	counter_exceptAuth	rt	gender_restrict	eng_teach	classes	dept_engfull	restrict	school_avg	umd	authorize_using	dept_group_name	course_avg	teacher	class_name	time_inf	chn_name	form_s_name	moocs_teach	hours	form_s	tname	counter	deleteQ	option_code	tcode	scoreEnt	iCounter	limit_count_h	comment	acadm_term	generalCore	programs
	CU						0	0.00		共同科		00UB9A3			0		2.0	Y			115	半			English (III): English for Liberal Arts	A		0001			0	N		是			◎必須先修過【英文(一)】◎必須先修過【英文(二)】			0			未定		◎密集課程	英文（三）：人文英文						0		必				35	◎第1期  ◎第一類課程	3		
	CU						0	0.00		共同科		00UB9B1			0		2.0	Y			115	半			English (III): English for Education	A		0002			0	N		是			◎必須先修過【英文(一)】◎必須先修過【英文(二)】			0			未定		◎密集課程	英文（三）：教育英文						0		必				35	◎第1期  ◎第一類課程	3		
	CU						0	0.00		共同科		00UB9D1			0		2.0	Y			115	半			English (III): English for Arts and Design	A		0003			0	N		是			◎必須先修過【英文(一)】◎必須先修過【英文(二)】			0			未定		◎密集課程	英文（三）：藝術英文						0		必				35	◎全期  ◎第一類課程	3		
	E						10	0.40		教育學院		E0U0001			0		2.0	Y			115	半			Educational Statistics (I)	A		0004			0	N		是						0			吳清麟		◎密集課程	教育統計學（一）						0		選				50	◎第1期  ◎第一類課程 此課程為數位課程(中文授課)	3		
	EU						10	0.20		師培學院		00UE006			0		2.0	Y			115	半			Classroom Management			0005			0	N					◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 可修			0			未定		◎密集課程	班級經營（教）						0		選				50	◎第1期  ◎第二類課程	3		
	EU						10	0.20		師培學院		00UE008			0		2.0	Y			115	半			Principle and Practice of Guidance	A		0006			0	N					◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 可修			0			未定		◎密集課程	輔導原理與實務（教）						0		選				50	◎第2期  ◎第二類課程	3		
	EU						10	0.20		師培學院		00UE008			0		2.0	Y			115	半			Principle and Practice of Guidance	B		0007			0	N					◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 可修			0			未定		◎密集課程	輔導原理與實務（教）						0		選				50	◎第2期  ◎第二類課程	3		
	EU						10	0.20		師培學院		00UE080			0		2.0	Y			115	半			Teacher Professional Development			0008			0	N					◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 國小教育學程生 國小不佔名額生 可修			0			張民杰		◎密集課程	教師專業發展（教）						0		選				50	◎第1期  ◎第二類課程	3		
	EU						10	0.20		師培學院		00UE100			0		2.0	Y			115	半			Experiment Education			0009			0	N					◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 國小教育學程生 國小不佔名額生 可修			0			未定		◎密集課程	實驗教育（教）						0		選				50	◎第1期  ◎第二類課程	3		
	EU						10	0.20		師培學院		IBC9005			0		3.0	Y			115	半			Teaching and Learning in the DP (IB)			0010			0	N		是	9		◎初選 國際教師學分學程-華語文教育 國際教師學分學程-國際數學教育 國際教師學分學程-國際物理教育 國際教師學分學程-國際教育 研究生得下修 ◎必須先修過【IBC9004  IB哲學與實作（IB）】、【IBU0001  IB哲學與實作（IB）】其中一門			0			未定	大碩	◎密集課程	DP的教與學（IB）						0		選				50	◎第1期  ◎第二類課程	3		
	EU						10	0.20		師培學院		IBC9006			0		3.0	Y			115	半			Teaching and Learning in the MYP (IB)			0011			0	N		是	9		◎必須先修過【IBC9004  IB哲學與實作（IB）】、【IBC9007  課程發展與設計（IB）】、【IBC9008  學習評量（IB）】			0			未定	大碩	◎密集課程	MYP的教與學（IB）						0		選				50	◎第1期  ◎第二類課程	3		
	EU07						10	0.20		公領系（學）		CEU0004			0		2.0	Y			115	半			Introduction to Jurisprudence			0012			0	N								0			林安邦		◎密集課程	法學緒論						0		必				50	◎第1期  ◎第一類課程	3		
	EU07						10	0.20		公領系（學）		CEU0504			0		2.0	Y			115	半			Introduction to Qualitative Research			0013			0	N								0			曾冠球		◎密集課程	質性研究概論						0		選				50	◎第1期  ◎第二類課程	3		
	GU						0	0.00		通識		01UG003			0		2.0	Y			115	半			Classical Music			0014			0	N		是						0			未定		◎密集課程	西洋古典音樂						0		通				50	◎第1期  ◎第一類課程	3	A1	
	GU						0	0.00		通識		01UG004			0		2.0	Y			115	半			Music Appreciation			0015			0	N		是						0			未定		◎密集課程	音樂鑑賞						0		通				50	◎第1期  ◎第一類課程	3	A1	
	GU						0	0.00		通識		03UG003			0		2.0	Y			115	半			Multicultural Literacy			0016			0	N		是						0			未定		◎密集課程	多元文化						0		通				50	◎第1期  ◎第一類課程	3	A2	
	GU						0	0.00		通識		03UG045			0		2.0	Y			115	半			Key Issues of Contemporary Society and Culture			0017			0	N		是						0			未定		◎密集課程	當代社會與文化關鍵議題						0		通				50	◎第1期  ◎第一類課程	3	A2	
	GU						0	0.00		通識		05UG011			0		2.0	Y			115	半			Technology Ethics			0018			0	N								0			未定		◎密集課程	科技倫理						0		通				50	◎第1期  ◎第一類課程	3	A2	
	GU						0	0.00		通識		05UG022			0		2.0	Y			115	半			Learning Programming for Music			0019			0	N								0			未定		◎密集課程	學程式玩音樂						0		通				50	◎第2期  ◎第一類課程	3	A4	
	HM77						10	0.40		光電所（碩）		OEC8129			0		3.0	Y			115	半			Special Topics on Electro-optical System Measurement			0020			0	N		是	8		◎必須先修過【OEC9002  物理光學】、【OEC9001  幾何光學】 ◎課程開放上修			0			楊承山	碩博	◎密集課程	光電系統量測專題研究						0		選				50	◎第2期  ◎第二類課程	3		
	HM77						10	0.40		光電所（碩）		OEC8151			0		3.0	Y			115	半			Bio-Sensors			0021			0	N			8		◎課程開放上修			0			邱南福	碩博	◎密集課程	生醫感測元件						0		選				50	◎第2期  ◎第二類課程	3		
	HM77						10	0.40		光電所（碩）		OEC8153			0		3.0	Y			115	半			Nano-Optics and Near-Field Optical Microscopy			0022			0	N			8		◎課程開放上修			0			邱南福	碩博	◎密集課程	奈米光學與近場顯微技術						0		選				50	◎第2期  ◎第二類課程	3		
	HU77						10	0.40		光電學位學程（學）		OEC9003			0		2.0	Y			115	半			Introduction to English Scientific Reports			0023			0	N			9					0			楊承山	大碩	◎密集課程	科技英文報告						0		選				50	◎第2期  ◎第二類課程	3		
	HU77						10	0.40		光電學位學程（學）		OEC9007			0		3.0	Y			115	半			Design of Photonics System			0024			0	N			9					0			呂杰翰	大碩	◎密集課程	光電系統設計						0		選				50	◎第2期  ◎第二類課程	3		
	HU77						10	0.40		光電學位學程（學）		OEC9101			0		3.0	Y			115	半			Semiconductor Materials and Processing			0025			0	N		是	9					0			張菁文	大碩	◎密集課程	半導體製程						0		選				50	◎第2期  ◎第一類課程	3		
	HU77						10	0.40		光電學位學程（學）		OEC9115			0		3.0	Y			115	半			Industrial Camps and Implementation			0026			0	N			9		◎必須先修過【OEC8116  奈米磁性物理及其應用（一）】、【OEC8117  奈米磁性物理及其應用（二）】			0			謝振傑	大碩	◎密集課程	產業蹲點與實作						0		選				50	◎第2期  ◎第二類課程	3		
	LU23						5	0.10		地理系（學）		GEU0235			0		3.0	Y			115	半			Environmental Management and Regional Planning Practice			0027			0	N								0			莫家俊 李宗祐		◎密集課程	環境管理與區域規劃實務						0		選				50	◎全期  ◎第二類課程	3		
	LU23						5	0.10		地理系（學）		GEU0253			0		1.0	Y			115	半			Sustainable Development in East Asia			0028			0	N		是						0			莫家俊		◎密集課程	東亞的永續發展						0		選				50	◎第1期  ◎第二類課程	3		
